,race,gender,age,filename,database
4988,0,1,28,192025_00M28.JPG,morph
5863,0,1,26,214755_02M26.JPG,morph
5728,0,0,20,292998_01F20.JPG,morph
3984,0,0,36,323889_06F36.JPG,morph
2421,0,0,55,138612_3F55.JPG,morph
1936,0,0,20,304222_00F20.JPG,morph
1092,0,1,24,261073_05M24.JPG,morph
5841,0,0,33,117562_1F33.JPG,morph
4040,0,1,23,318221_00M23.JPG,morph
5137,0,1,28,198497_00M28.JPG,morph
5328,0,1,20,285325_01M20.JPG,morph
3072,0,1,35,182413_01M35.JPG,morph
1891,0,1,45,058760_00M45.JPG,morph
5404,0,1,38,070316_5M38.JPG,morph
3501,0,1,19,333729_01M19.JPG,morph
2721,0,1,49,062502_2M49.JPG,morph
3982,0,0,41,280562_03F41.JPG,morph
3245,0,1,49,051283_6M49.JPG,morph
204,0,1,41,130708_1M41.JPG,morph
2183,0,0,36,230909_01F36.JPG,morph
4874,0,1,48,321278_00M48.JPG,morph
880,0,0,46,239219_02F46.JPG,morph
4339,0,0,22,276059_01F22.JPG,morph
4359,0,1,42,078572_3M42.JPG,morph
2838,0,1,23,242732_01M23.JPG,morph
3031,0,0,32,290387_09F32.JPG,morph
22,0,1,35,232817_00M35.JPG,morph
5868,0,1,30,250160_02M30.JPG,morph
4976,0,1,37,342716_02M37.JPG,morph
595,0,1,48,089898_8M48.JPG,morph
2977,0,1,18,319261_02M18.JPG,morph
3827,0,1,24,317037_03M24.JPG,morph
2129,0,1,38,145323_01M38.JPG,morph
5314,0,1,47,120999_0M47.JPG,morph
4618,0,1,39,077771_04M39.JPG,morph
725,0,0,34,098510_1F34.JPG,morph
2359,0,0,25,264851_09F25.JPG,morph
3352,0,1,47,053653_18M47.JPG,morph
4474,0,1,24,241489_04M24.JPG,morph
1475,0,1,39,209417_00M39.JPG,morph
2569,0,0,37,315937_00F37.JPG,morph
1462,0,0,56,286581_04F56.JPG,morph
3093,0,0,31,272382_03F31.JPG,morph
2370,0,1,46,117843_1M46.JPG,morph
3890,0,0,45,087970_2F45.JPG,morph
1991,0,1,41,148733_02M41.JPG,morph
128,0,1,49,062502_1M49.JPG,morph
4501,0,1,22,337042_01M22.JPG,morph
2018,0,1,25,202662_01M25.JPG,morph
961,0,0,30,182885_00F30.JPG,morph
585,0,1,41,112213_1M41.JPG,morph
740,0,1,40,148733_01M40.JPG,morph
616,0,1,16,335321_00M16.JPG,morph
467,0,0,21,341983_00F21.JPG,morph
4865,0,1,55,244097_10M55.JPG,morph
5756,0,1,24,248950_02M24.JPG,morph
220,0,1,23,315363_02M23.JPG,morph
1466,0,0,40,158191_00F40.JPG,morph
3366,0,1,43,068217_02M43.JPG,morph
4677,0,1,51,048618_0M51.JPG,morph
1367,0,1,49,051283_15M49.JPG,morph
42,0,1,26,213102_02M26.JPG,morph
1560,0,1,32,275953_01M32.JPG,morph
2890,0,1,25,228288_02M25.JPG,morph
5298,0,1,18,318192_01M18.JPG,morph
3202,0,1,20,327424_04M20.JPG,morph
5712,0,1,42,065479_00M42.JPG,morph
5033,0,1,25,234824_04M25.JPG,morph
4643,0,0,42,234044_00F42.JPG,morph
2476,0,1,42,163268_02M42.JPG,morph
4632,0,1,61,062875_1M61.JPG,morph
1665,0,1,45,089269_00M45.JPG,morph
1598,0,1,24,253658_01M24.JPG,morph
